City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,Mae Ramat,16.984,98.5166,77.79,98,100,0.45,TH,2022-09-25 15:19:31
190,Bandarbeyla,9.4942,50.8122,79.05,79,71,24.23,SO,2022-09-25 15:19:32
191,Russas,-4.9403,-37.9758,96.89,25,4,9.31,BR,2022-09-25 15:19:32
192,Sungairaya,0.7,108.9,77.95,88,100,0.83,ID,2022-09-25 15:19:33
193,Kodiak,57.79,-152.4072,35.11,93,0,6.91,US,2022-09-25 15:19:33
194,Thunder Bay,48.4001,-89.3168,51.78,93,100,2.3,CA,2022-09-25 15:19:12
195,Ponta Delgada,37.7333,-25.6667,77.5,68,75,16.11,PT,2022-09-25 15:19:34
196,Hammerfest,70.6634,23.6821,50.45,71,40,17.27,NO,2022-09-25 15:19:34
197,Erzin,36.9559,36.2,76.12,29,0,0.85,TR,2022-09-25 15:19:34
198,Iskateley,67.6803,53.1512,33.75,66,100,8.12,RU,2022-09-25 15:19:35
199,Pisco,-13.7,-76.2167,64.45,63,0,14.97,PE,2022-09-25 15:19:35
200,La Ronge,55.1001,-105.2842,48.45,71,40,6.91,CA,2022-09-25 15:19:36
201,Milas,37.3164,27.7839,78.15,25,0,14.97,TR,2022-09-25 15:19:36
202,Lompoc,34.6391,-120.4579,61.52,95,100,6.91,US,2022-09-25 15:19:36
203,Namibe,-15.1961,12.1522,67.96,73,41,10.16,AO,2022-09-25 15:19:37
204,Salinas,36.6777,-121.6555,62.69,87,100,4.61,US,2022-09-25 15:15:24
205,Paka,4.6374,103.4368,78.89,84,100,4.76,MY,2022-09-25 15:19:38
206,San Martin,-33.081,-68.4681,61.34,37,21,3.87,AR,2022-09-25 15:19:38
207,Yellowknife,62.456,-114.3525,41.56,81,75,11.5,CA,2022-09-25 15:19:39
208,Colares,38.7992,-9.4469,73.33,72,20,27.63,PT,2022-09-25 15:19:39
209,Kyra,49.5776,111.9753,38.3,54,100,1.19,RU,2022-09-25 15:19:40
210,Mount Gambier,-37.8333,140.7667,49.39,94,100,3.56,AU,2022-09-25 15:19:40
211,Adrar,20.5022,-10.0711,99.34,23,12,7.45,MR,2022-09-25 15:19:40
212,Sobolevo,54.4299,31.8996,49.08,70,100,9.35,RU,2022-09-25 15:19:41
213,Hun,29.1268,15.9477,87.73,26,0,7.43,LY,2022-09-25 15:19:41
214,Olga,43.7444,135.2892,55.63,85,100,3.56,RU,2022-09-25 15:19:42
215,Paharpur,32.1038,70.9724,90.86,40,0,4.79,PK,2022-09-25 15:19:42
216,Tornio,65.8481,24.1466,50.02,72,40,6.46,FI,2022-09-25 15:19:43
217,Marzuq,14.4,46.4667,83.98,38,97,8.86,YE,2022-09-25 15:19:43
218,Loughrea,53.1969,-8.5669,59.09,77,100,13.22,IE,2022-09-25 15:19:43
