Index,date,prcp,tobs
360,2014-06-05,0.0,75.0
361,2014-06-06,0.13,74.0
362,2014-06-07,0.01,74.0
363,2014-06-08,0.02,75.0
364,2014-06-09,0.02,75.0
365,2014-06-10,0.1,72.0
366,2014-06-11,0.15,74.0
367,2014-06-12,0.0,76.0
368,2014-06-13,0.0,76.0
369,2014-06-14,0.0,75.0
370,2014-06-15,0.01,75.0
371,2014-06-16,0.12,74.0
372,2014-06-17,0.05,72.0
373,2014-06-18,0.07,74.0
374,2014-06-19,0.0,75.0
375,2014-06-20,0.29,70.0
376,2014-06-21,0.06,71.0
377,2014-06-22,0.15,72.0
378,2014-06-23,0.15,71.0
379,2014-06-24,0.1,73.0
380,2014-06-25,0.04,74.0
381,2014-06-26,0.04,72.0
382,2014-06-27,0.02,74.0
383,2014-06-28,0.25,76.0
384,2014-06-29,0.18,72.0
385,2014-06-30,0.03,75.0
386,2015-06-03,,75.0
387,2015-06-04,0.27,72.0
388,2015-06-05,0.0,70.0
389,2015-06-06,0.0,76.0
390,2015-06-07,0.0,78.0
391,2015-06-08,0.1,72.0
392,2015-06-09,0.05,74.0
393,2015-06-10,0.07,74.0
394,2015-06-11,0.1,72.0
395,2015-06-12,0.0,71.0
396,2015-06-13,0.0,79.0
397,2015-06-14,0.07,79.0
398,2015-06-15,0.0,76.0
399,2015-06-16,0.14,75.0
400,2015-06-17,0.25,72.0
401,2015-06-18,0.14,74.0
402,2015-06-19,0.02,76.0
403,2015-06-20,0.04,76.0
404,2015-06-21,0.01,77.0
405,2015-06-22,0.01,75.0
406,2015-06-23,0.03,76.0
407,2015-06-24,0.14,75.0
408,2015-06-25,0.2,75.0
409,2015-06-26,0.1,76.0
410,2015-06-27,0.06,76.0
411,2015-06-29,,74.0
412,2016-06-01,0.89,70.0
413,2016-06-02,0.15,69.0
414,2016-06-03,0.16,70.0
415,2016-06-04,0.0,68.0
416,2016-06-05,0.63,70.0
417,2016-06-06,0.36,74.0
418,2016-06-07,0.4,75.0
419,2016-06-08,0.0,74.0
420,2016-06-09,0.21,71.0
421,2016-06-10,0.06,73.0
422,2016-06-11,0.02,75.0
423,2016-06-12,0.04,74.0
424,2016-06-13,0.08,76.0
425,2016-06-14,0.06,76.0
426,2016-06-15,0.18,76.0
427,2016-06-16,0.03,76.0
428,2016-06-17,0.16,75.0
429,2016-06-18,0.3,75.0
430,2016-06-19,0.02,75.0
431,2016-06-20,0.16,74.0
432,2016-06-21,0.03,73.0
433,2016-06-22,0.01,76.0
434,2016-06-23,0.25,74.0
435,2016-06-24,0.02,78.0
436,2016-06-25,0.8,71.0
437,2016-06-26,0.06,75.0
438,2016-06-27,0.06,75.0
439,2016-06-28,0.02,74.0
440,2016-06-29,0.03,77.0
441,2016-06-30,0.0,77.0
442,2017-06-01,0.03,76.0
443,2017-06-02,0.1,76.0
444,2017-06-03,0.2,76.0
445,2017-06-04,0.15,78.0
446,2017-06-05,0.0,76.0
447,2017-06-06,0.0,75.0
448,2017-06-07,0.0,75.0
449,2017-06-08,0.02,76.0
450,2017-06-09,0.02,78.0
451,2017-06-10,0.21,75.0
452,2017-06-11,0.24,73.0
453,2017-06-12,0.19,76.0
454,2017-06-13,0.36,76.0
455,2017-06-14,0.27,76.0
456,2017-06-15,0.17,77.0
457,2017-06-16,0.02,76.0
458,2017-06-17,0.35,77.0
459,2017-06-18,0.25,72.0
460,2017-06-19,0.05,77.0
