Index,date,prcp,tobs
563,2015-12-14,0.05,77.0
564,2015-12-15,0.0,79.0
565,2015-12-16,0.05,75.0
566,2015-12-17,0.13,77.0
567,2015-12-18,0.08,76.0
568,2015-12-19,0.18,78.0
569,2015-12-21,,78.0
570,2015-12-22,0.13,77.0
571,2015-12-23,0.1,78.0
572,2015-12-25,,78.0
573,2015-12-27,,76.0
574,2015-12-28,0.21,75.0
575,2015-12-29,0.01,72.0
576,2016-12-01,0.07,75.0
577,2016-12-02,0.4,77.0
578,2016-12-03,0.26,75.0
579,2016-12-04,0.0,77.0
580,2016-12-05,0.2,76.0
581,2016-12-07,,76.0
582,2016-12-08,0.02,75.0
583,2016-12-09,0.26,72.0
584,2016-12-10,0.0,76.0
585,2016-12-12,,75.0
586,2016-12-13,0.34,72.0
587,2016-12-14,0.12,72.0
588,2016-12-15,0.07,75.0
589,2016-12-16,0.0,69.0
590,2016-12-17,0.0,75.0
591,2016-12-18,0.04,74.0
592,2016-12-19,0.0,78.0
593,2016-12-20,0.0,77.0
594,2016-12-21,0.09,76.0
595,2016-12-22,0.05,72.0
596,2016-12-23,0.03,73.0
597,2016-12-24,0.13,74.0
598,2016-12-26,,74.0
599,2016-12-27,0.02,74.0
600,2016-12-28,0.01,73.0
601,2016-12-29,0.56,73.0
602,2016-12-30,0.29,71.0
603,2016-12-31,0.36,72.0
604,2010-12-01,0.7,72.0
605,2010-12-02,0.26,75.0
606,2010-12-06,0.0,66.0
607,2010-12-07,0.0,66.0
608,2010-12-08,0.0,67.0
609,2010-12-09,0.02,76.0
610,2010-12-10,1.75,68.0
611,2010-12-13,0.0,69.0
612,2010-12-14,0.0,71.0
613,2010-12-15,0.0,70.0
614,2010-12-16,0.0,68.0
615,2010-12-17,0.0,66.0
616,2011-12-01,0.0,69.0
617,2011-12-02,0.0,69.0
618,2011-12-05,0.0,71.0
619,2011-12-06,0.0,72.0
620,2011-12-07,0.07,69.0
621,2011-12-08,0.05,72.0
622,2011-12-09,0.16,70.0
623,2011-12-12,,76.0
624,2011-12-13,2.8,69.0
625,2011-12-14,0.86,71.0
626,2011-12-15,0.02,72.0
627,2011-12-16,,71.0
628,2012-12-03,0.0,78.0
629,2012-12-04,0.0,73.0
630,2012-12-05,0.02,74.0
631,2012-12-06,,68.0
632,2012-12-07,,71.0
633,2012-12-10,0.0,76.0
634,2012-12-11,0.0,75.0
635,2012-12-12,0.0,74.0
636,2012-12-13,0.04,73.0
637,2012-12-14,0.07,73.0
638,2012-12-27,,74.0
639,2012-12-28,,69.0
640,2013-12-02,,74.0
641,2013-12-03,,72.0
642,2013-12-04,,70.0
643,2013-12-05,0.0,67.0
644,2013-12-06,0.02,69.0
645,2013-12-09,,73.0
646,2013-12-10,0.0,75.0
647,2013-12-11,0.0,74.0
648,2013-12-12,0.0,72.0
649,2013-12-13,0.0,71.0
650,2013-12-16,,67.0
651,2013-12-17,0.02,74.0
652,2013-12-18,,70.0
653,2013-12-19,,70.0
654,2013-12-20,,70.0
655,2013-12-23,,71.0
656,2013-12-24,,70.0
657,2013-12-26,,71.0
658,2013-12-27,0.0,71.0
659,2013-12-28,,68.0
660,2014-12-01,0.28,74.0
661,2014-12-02,0.0,75.0
662,2014-12-03,0.05,74.0
663,2014-12-04,0.15,77.0
664,2014-12-05,,76.0
665,2014-12-08,,77.0
666,2014-12-09,,75.0
667,2014-12-10,0.0,76.0
668,2014-12-11,0.06,75.0
669,2014-12-15,0.1,77.0
670,2014-12-16,,75.0
671,2014-12-17,,77.0
672,2014-12-18,,74.0
673,2014-12-19,,78.0
674,2014-12-22,0.04,77.0
675,2014-12-23,0.1,76.0
676,2014-12-24,0.02,69.0
677,2014-12-26,0.0,70.0
678,2014-12-29,,64.0
679,2014-12-30,0.0,75.0
680,2015-12-01,,69.0
681,2015-12-02,0.28,65.0
682,2015-12-03,,76.0
683,2015-12-04,,81.0
684,2015-12-08,,71.0
